frame,time,meas_x,predicted_x,filtered_x,ahead_x,true_x,meas_y,predicted_y,filtered_y,ahead_y,true_y,meas_z,predicted_z,filtered_z,ahead_z,true_z,meas_yaw,predicted_yaw,filtered_yaw,ahead_yaw,true_yaw
1,0.033000,208.642498,210.330000,208.642498,214.330000,208.642522,501.602573,500.660000,501.584043,508.660000,500.657822,103.677990,100.165000,103.645530,102.165000,104.148993,0.555263,0.500000,0.554989,0.500000,0.506600
2,0.066000,209.249931,208.970580,209.249931,212.947333,209.249926,501.851357,502.244546,502.047161,510.250645,501.311288,104.615066,103.812425,104.221760,105.835384,104.298963,0.453166,0.554989,0.504129,0.554989,0.513199
3,0.099000,209.822069,209.898253,209.822069,217.756691,209.822079,501.369429,502.702243,502.225490,510.642628,501.960398,104.446725,104.411598,104.425099,106.712661,104.449894,0.453401,0.504129,0.487164,0.504129,0.519796
4,0.132000,210.359025,210.353106,210.359025,216.789922,210.359001,501.992388,502.845790,502.587033,510.364583,502.605152,105.231869,104.616771,104.831569,106.940078,104.601773,0.572167,0.487164,0.508608,0.487164,0.526390
5,0.165000,210.860870,210.900035,210.860870,217.457728,210.860862,503.755616,503.176514,503.341366,510.321733,503.245550,104.397452,105.064575,104.832827,107.888901,104.754584,0.393054,0.508608,0.485111,0.508608,0.532981
6,0.198000,211.327972,211.332938,211.327972,217.054981,211.327978,503.958883,503.955630,503.956545,511.401253,503.881592,104.791576,105.016829,104.938910,107.247148,104.908314,0.598512,0.485111,0.504505,0.485111,0.539568
7,0.231000,211.760838,211.791069,211.760838,217.404362,211.760813,504.817745,504.570958,504.640343,512.018398,504.513278,105.434993,105.106763,105.218296,107.141353,105.062948,0.617130,0.504505,0.521197,0.504505,0.546149
8,0.264000,212.160003,212.168372,212.160003,217.108174,212.159972,506.406338,505.266167,505.584771,512.851919,505.140608,104.901194,105.407740,105.239862,107.704039,105.218470,0.695207,0.521197,0.544047,0.521197,0.552723
9,0.297000,212.526222,212.551966,212.526222,217.303035,212.526197,505.194854,506.261078,505.966610,514.458737,505.763582,104.910206,105.399483,105.243981,107.334291,105.374868,0.498470,0.544047,0.538651,0.544047,0.559291
10,0.330000,212.860333,212.869848,212.860333,217.035010,212.860368,505.857125,506.598869,506.399067,514.262611,506.382200,105.256967,105.378360,105.341713,107.007189,105.532126,0.517574,0.538651,0.536370,0.538651,0.565850
11,0.363000,213.163454,213.185967,213.163454,217.133043,213.163491,507.352419,507.003357,507.094269,514.328081,506.996462,105.370987,105.470647,105.442118,107.033489,105.690230,0.618892,0.536370,0.544627,0.536370,0.572401
12,0.396000,213.436669,213.446276,213.436669,216.874414,213.436696,507.366614,507.710435,507.624091,515.179113,507.606368,105.961222,105.567160,105.673605,107.082821,105.849165,0.558004,0.544627,0.545877,0.544627,0.578942
13,0.429000,213.681242,213.701138,213.681242,216.906820,213.681231,507.559779,508.229727,508.068123,515.570774,508.211918,106.193685,105.812046,105.909628,107.490112,106.008917,0.493809,0.545877,0.541300,0.545877,0.585472
14,0.462000,213.898476,213.907554,213.898476,216.650732,213.898457,509.002709,508.655326,508.735505,515.772942,508.813112,105.867962,106.059452,106.012889,107.875499,106.169471,0.539424,0.541300,0.541144,0.541300,0.591990
15,0.495000,214.089798,214.107320,214.089798,216.638769,214.089835,508.699172,509.331286,509.191374,516.552875,509.409950,106.282335,106.157657,106.186344,107.912416,106.330814,0.764237,0.541144,0.558859,0.541144,0.598496
16,0.528000,214.256975,214.264834,214.256975,216.386483,214.256928,509.930677,509.773072,509.806435,516.823960,510.002432,107.121182,106.334023,106.505217,108.124077,106.492930,0.542198,0.558859,0.557591,0.558859,0.604989
17,0.561000,214.401383,214.416810,214.401383,216.354215,214.401383,510.538199,510.391303,510.421096,517.480614,510.590558,106.182281,106.669201,106.567510,108.656884,106.655806,0.570838,0.557591,0.558562,0.557591,0.611467
18,0.594000,214.524970,214.531320,214.524970,216.106304,214.524930,510.882474,511.008644,510.984097,518.130445,511.174328,106.772928,106.722375,106.732397,108.599527,106.819426,0.694724,0.558562,0.568207,0.558562,0.617931
19,0.627000,214.629418,214.642578,214.629418,216.068124,214.629372,511.648102,511.569548,511.584214,518.665917,511.753742,106.543591,106.888111,106.822714,108.775552,106.983778,0.617975,0.568207,0.571628,0.568207,0.624378
20,0.660000,214.716586,214.721430,214.716586,215.836727,214.716572,513.096071,512.170859,512.336658,519.281707,512.328800,107.603662,106.973180,107.086782,108.797014,107.148846,0.745846,0.571628,0.583283,0.571628,0.630809
21,0.693000,214.788426,214.799164,214.788426,215.800106,214.788451,512.901156,512.936210,512.930155,520.203509,512.899502,107.203008,107.245907,107.238466,109.174695,107.314616,0.543509,0.583283,0.580686,0.583283,0.637222
22,0.726000,214.846962,214.850061,214.846962,215.597152,214.846973,513.797339,513.529255,513.573863,520.791078,513.465848,106.732375,107.397051,107.285911,109.319292,107.481075,0.628970,0.580686,0.583771,0.580686,0.643616
23,0.759000,214.894177,214.902544,214.894177,215.576265,214.894137,514.698161,514.176163,514.259961,521.476770,514.027838,107.383993,107.436799,107.428357,109.265745,107.648207,0.793551,0.583771,0.596920,0.583771,0.649991
24,0.792000,214.932004,214.933403,214.932004,215.408875,214.931969,514.519506,514.868054,514.813894,522.238883,514.585472,107.489018,107.578686,107.564889,109.400854,107.815999,0.647908,0.596920,0.600061,0.596920,0.656346
25,0.825000,214.962516,214.968492,214.962516,215.410769,214.962511,514.791773,515.418369,515.324078,522.745340,515.138750,108.101522,107.714343,107.771515,109.525901,107.984437,0.849856,0.600061,0.615210,0.600061,0.662680
26,0.858000,214.987754,214.987300,214.987754,215.287713,214.987810,514.894323,515.922450,515.772368,523.175445,515.687672,108.476796,107.924450,108.003014,109.778209,108.153506,0.842915,0.615210,0.628829,0.615210,0.668992
27,0.891000,215.009866,215.013426,215.009866,215.324611,215.009912,516.326283,516.361306,516.356351,523.499951,516.232238,108.514810,108.160548,108.209279,110.070053,108.323193,0.584750,0.628829,0.626225,0.628829,0.675282
