frame,time,step,dt_step,x,y,z,yaw
1,0.033000,1,0.033000,198.724871,498.088740,96.545631,-1.286732
1,0.033000,2,0.033000,198.719365,498.080487,96.541878,-1.286732
1,0.033000,3,0.033000,198.713858,498.072233,96.538124,-1.286732
1,0.033000,4,0.033000,198.708352,498.063980,96.534370,-1.286732
1,0.033000,5,0.033000,198.702845,498.055726,96.530617,-1.286732
1,0.033000,6,0.033000,198.697339,498.047473,96.526863,-1.286732
1,0.033000,7,0.033000,198.691832,498.039219,96.523110,-1.286732
1,0.033000,8,0.033000,198.686326,498.030966,96.519356,-1.286732
1,0.033000,9,0.033000,198.680819,498.022712,96.515602,-1.286732
1,0.033000,10,0.033000,198.675313,498.014458,96.511849,-1.286732
2,0.066000,1,0.033000,202.256168,499.811807,96.078424,-1.296221
2,0.066000,2,0.033000,202.295324,499.825416,96.073170,-1.296221
2,0.066000,3,0.033000,202.334480,499.839026,96.067915,-1.296221
2,0.066000,4,0.033000,202.373636,499.852635,96.062660,-1.296221
2,0.066000,5,0.033000,202.412792,499.866245,96.057406,-1.296221
2,0.066000,6,0.033000,202.451948,499.879854,96.052151,-1.296221
2,0.066000,7,0.033000,202.491104,499.893463,96.046896,-1.296221
2,0.066000,8,0.033000,202.530260,499.907073,96.041642,-1.296221
2,0.066000,9,0.033000,202.569416,499.920682,96.036387,-1.296221
2,0.066000,10,0.033000,202.608572,499.934292,96.031132,-1.296221
3,0.099000,1,0.033000,199.979706,499.999375,97.531206,-1.324301
3,0.099000,2,0.033000,199.963191,500.017167,97.535275,-1.324301
3,0.099000,3,0.033000,199.946676,500.034958,97.539345,-1.324301
3,0.099000,4,0.033000,199.930161,500.052750,97.543414,-1.324301
3,0.099000,5,0.033000,199.913646,500.070542,97.547483,-1.324301
3,0.099000,6,0.033000,199.897132,500.088334,97.551552,-1.324301
3,0.099000,7,0.033000,199.880617,500.106125,97.555621,-1.324301
3,0.099000,8,0.033000,199.864102,500.123917,97.559690,-1.324301
3,0.099000,9,0.033000,199.847587,500.141709,97.563759,-1.324301
3,0.099000,10,0.033000,199.831072,500.159500,97.567828,-1.324301
4,0.132000,1,0.033000,199.195932,499.254313,96.677050,-1.323551
4,0.132000,2,0.033000,199.150955,499.243806,96.672163,-1.323551
4,0.132000,3,0.033000,199.105977,499.233299,96.667276,-1.323551
4,0.132000,4,0.033000,199.061000,499.222791,96.662389,-1.323551
4,0.132000,5,0.033000,199.016022,499.212284,96.657502,-1.323551
4,0.132000,6,0.033000,198.971045,499.201777,96.652615,-1.323551
4,0.132000,7,0.033000,198.926068,499.191269,96.647728,-1.323551
4,0.132000,8,0.033000,198.881090,499.180762,96.642842,-1.323551
4,0.132000,9,0.033000,198.836113,499.170255,96.637955,-1.323551
4,0.132000,10,0.033000,198.791136,499.159747,96.633068,-1.323551
5,0.165000,1,0.033000,200.681235,501.388975,97.538861,-1.328745
5,0.165000,2,0.033000,200.712882,501.485880,97.547129,-1.328745
5,0.165000,3,0.033000,200.744529,501.582786,97.555396,-1.328745
5,0.165000,4,0.033000,200.776175,501.679692,97.563664,-1.328745
5,0.165000,5,0.033000,200.807822,501.776597,97.571932,-1.328745
5,0.165000,6,0.033000,200.839469,501.873503,97.580200,-1.328745
5,0.165000,7,0.033000,200.871116,501.970408,97.588468,-1.328745
5,0.165000,8,0.033000,200.902763,502.067314,97.596736,-1.328745
5,0.165000,9,0.033000,200.934410,502.164219,97.605004,-1.328745
5,0.165000,10,0.033000,200.966056,502.261125,97.613271,-1.328745
6,0.198000,1,0.033000,200.609897,503.172828,96.490243,-1.322015
6,0.198000,2,0.033000,200.635212,503.373449,96.476968,-1.322015
6,0.198000,3,0.033000,200.660527,503.574070,96.463694,-1.322015
6,0.198000,4,0.033000,200.685842,503.774691,96.450419,-1.322015
6,0.198000,5,0.033000,200.711157,503.975312,96.437145,-1.322015
6,0.198000,6,0.033000,200.736473,504.175932,96.423870,-1.322015
6,0.198000,7,0.033000,200.761788,504.376553,96.410596,-1.322015
6,0.198000,8,0.033000,200.787103,504.577174,96.397321,-1.322015
6,0.198000,9,0.033000,200.812418,504.777795,96.384046,-1.322015
6,0.198000,10,0.033000,200.837733,504.978416,96.370772,-1.322015
7,0.231000,1,0.033000,201.645959,502.930665,96.463996,-1.293068
7,0.231000,2,0.033000,201.742459,503.100101,96.450387,-1.293068
7,0.231000,3,0.033000,201.838959,503.269537,96.436778,-1.293068
7,0.231000,4,0.033000,201.935459,503.438974,96.423169,-1.293068
7,0.231000,5,0.033000,202.031960,503.608410,96.409560,-1.293068
7,0.231000,6,0.033000,202.128460,503.777847,96.395951,-1.293068
7,0.231000,7,0.033000,202.224960,503.947283,96.382342,-1.293068
7,0.231000,8,0.033000,202.321460,504.116720,96.368733,-1.293068
7,0.231000,9,0.033000,202.417960,504.286156,96.355124,-1.293068
7,0.231000,10,0.033000,202.514461,504.455593,96.341515,-1.293068
8,0.264000,1,0.033000,200.560547,504.115429,96.328448,-1.271488
8,0.264000,2,0.033000,200.566435,504.362706,96.311049,-1.271488
8,0.264000,3,0.033000,200.572322,504.609984,96.293650,-1.271488
8,0.264000,4,0.033000,200.578210,504.857261,96.276251,-1.271488
8,0.264000,5,0.033000,200.584097,505.104539,96.258852,-1.271488
8,0.264000,6,0.033000,200.589985,505.351817,96.241453,-1.271488
8,0.264000,7,0.033000,200.595873,505.599094,96.224054,-1.271488
8,0.264000,8,0.033000,200.601760,505.846372,96.206655,-1.271488
8,0.264000,9,0.033000,200.607648,506.093650,96.189256,-1.271488
8,0.264000,10,0.033000,200.613535,506.340927,96.171857,-1.271488
9,0.297000,1,0.033000,200.451411,504.022107,96.333210,-1.268546
9,0.297000,2,0.033000,200.448048,504.241994,96.316610,-1.268546
9,0.297000,3,0.033000,200.444686,504.461881,96.300010,-1.268546
9,0.297000,4,0.033000,200.441323,504.681768,96.283409,-1.268546
9,0.297000,5,0.033000,200.437961,504.901655,96.266809,-1.268546
9,0.297000,6,0.033000,200.434598,505.121541,96.250209,-1.268546
9,0.297000,7,0.033000,200.431236,505.341428,96.233609,-1.268546
9,0.297000,8,0.033000,200.427873,505.561315,96.217009,-1.268546
9,0.297000,9,0.033000,200.424511,505.781202,96.200409,-1.268546
9,0.297000,10,0.033000,200.421148,506.001089,96.183809,-1.268546
10,0.330000,1,0.033000,202.013542,505.315706,95.806253,-1.291205
10,0.330000,2,0.033000,202.138773,505.623790,95.768988,-1.291205
10,0.330000,3,0.033000,202.264004,505.931874,95.731722,-1.291205
10,0.330000,4,0.033000,202.389235,506.239958,95.694457,-1.291205
10,0.330000,5,0.033000,202.514466,506.548042,95.657191,-1.291205
